regID,regAliasOKATO,regAliasISOCode,regAliasTheConstitutionalName,regAliasTableau,regAliasDatawrapper,regAliasDatwrapperSquare,regTileColumn,regTileRow,regAliasShort2Letters,regAliasShort3Letters,regFedOkrug,regMask,regAntimask,regAliasDeathID
71,70000000000,RU-TUL,Тульская область,Tula,Тульская область,Тульская область,3,5,ТЛ,ТУЛ,ЦФО,Туль,,1170
72,71000000000,RU-TYU,Тюменская область,Tyumen,Тюменская область,Тюменская область,10,3,ТЮ,ТЮМ,УФО,Тюмен,,1171
73,73000000000,RU-ULY,Ульяновская область,Ulyanovsk,Ульяновская область,Ульяновская область,6,5,УЛ,УЛН,ПФО,Улья,,1173
74,75000000000,RU-CHE,Челябинская область,Chelyabinsk,Челябинская область,Челябинская область,9,5,ЧЛ,ЧЕЛ,УФО,Чел,,1175
75,76000000000,RU-ZAB,Забайкальский край,Zabaikalski Kray,Забайкальский край,Забайкальский край,13,5,ЗБ,ЗАБ,ДФО,Заб,,1176
76,78000000000,RU-YAR,Ярославская область,Yaroslavl,Ярославская область,Ярославская область,3,2,ЯР,ЯРС,ЦФО,Яросл,,1178
77,45000000000,RU-MOW,Город федерального значения Москва,Moskva (city),Москва,Москва,3,3,МС,МСК,ЦФО,Москв,,1145
78,40000000000,RU-SPE,Город федерального значения Санкт-Петербург,Sankt-Peterburg,Санкт-Петербург,Санкт-Петербург,1,2,СП,СПБ,СЗФО,Санкт,,1140
79,99000000000,RU-YEV,Еврейская автономная область,Yevrey,Еврейская автономная область,Еврейская АО,14,4,ЕВ,ЕАО,ДФО,Евр,,1199
82,35000000000,UA-43,Республика Крым,,Республика Крым,Крым,1,8,КР,КРМ,ЮФО,Крым,,1135
83,11100000000,RU-NEN,Ненецкий автономный округ,Nenets,Ненецкий автономный округ,Ненецкий АО,8,1,НЕ,НАО,СЗФО,Ненец,Ямало,111
86,71100000000,RU-KHM,Ханты-Мансийский автономный округ — Югра,Khanty-Mansiyskiy Avtonomnyy Okrug,Ханты-Мансийский автономный округ — Югра,Ханты-Мансийский АО — Югра,9,3,ХМ,Х-М,УФО,ийский,,171
87,77000000000,RU-CHU,Чукотский автономный округ,Chukotskiy Avtonomnyy Okrug,Чукотский автономный округ,Чукотский АО,15,1,ЧК,ЧУК,ДФО,Чук,,1177
89,71140000000,RU-YAN,Ямало-Ненецкий автономный округ,Yamal-Nenets,Ямало-Ненецкий автономный округ,Ямало-Ненецкий АО,9,2,ЯН,Я-Н,УФО,ямало,Ненецкий,271
92,67000000000,UA-40,Город федерального значения Севастополь,,Севастополь,Севастополь,0,8,СЕ,СЕВ,ЮФО,Севас,,1167
95,96000000000,RU-CE,Чеченская Республика,Chechnya,Чеченская республика,Чечня,5,9,ЧЕ,ЧЕЧ,СКФО,Чеч,,1196
