regID;year;population
16;1989;3637809
16;1990;3653969
16;1991;3675425
16;1992;3692334
16;1993;3719831
16;1994;3740811
16;1995;3751808
16;1996;3761178
16;1997;3770046
16;1998;3780352
16;1999;3789259
16;2000;3789688
16;2001;3786845
16;2002;3781867
16;2003;3777667
16;2004;3773105
16;2005;3768167
16;2006;3761600
16;2007;3763106
16;2008;3766778
16;2009;3773526
16;2010;3784458
16;2011;3787485
16;2012;3803189
16;2013;3822038
16;2014;3838230
16;2015;3855037
16;2016;3868730
16;2017;3885253
16;2018;3894284
16;2019;3898628
17;1926;73000
17;1959;171928
17;1970;230864
17;1979;266453
17;1989;309129
17;1990;312576
17;1991;304459
17;1992;303300
17;1993;302348
17;1994;302160
17;1995;303452
17;1996;305042
17;1997;305404
17;1998;305316
17;1999;306169
17;2000;306152
17;2001;305729
17;2002;305216
17;2003;305493
17;2004;304957
17;2005;304066
17;2006;302889
17;2007;302357
17;2008;303783
17;2009;305306
17;2010;307323
17;2011;308132
17;2012;309347
17;2013;310460
17;2014;311761
17;2015;313777
17;2016;315637
17;2017;318550
17;2018;321722
17;2019;324423
18;1926;1025000
18;1959;1336927
18;1970;1417675
18;1979;1493670
18;1989;1609003
18;1990;1611461
18;1991;1616684
18;1992;1622149
18;1993;1624841
18;1994;1620134
18;1995;1617386
18;1996;1612618
18;1997;1607712
18;1998;1603960
18;1999;1601409
18;2000;1595571
18;2001;1588054
18;2002;1578187
18;2003;1568176
18;2004;1561092
18;2005;1554292
18;2006;1545820
18;2007;1538602
18;2008;1532946
18;2009;1528236
18;2010;1525117
18;2011;1520390
18;2012;1518091
18;2013;1517692
18;2014;1517050
18;2015;1517472
18;2016;1517164
18;2017;1516826
18;2018;1513044
18;2019;1507390
19;1926;121000
19;1959;411047
19;1970;445824
19;1979;500106
19;1989;568605
19;1990;570934
19;1991;572444
19;1992;573998
19;1993;574367
19;1994;573123
19;1995;571865
19;1996;570247
19;1997;567153
19;1998;564318
19;1999;561366
19;2000;557481
19;2001;554411
19;2002;549489
19;2003;545198
19;2004;541414
19;2005;537973
19;2006;533824
19;2007;531140
19;2008;531307
19;2009;531874
19;2010;532739
19;2011;532286
19;2012;532135
19;2013;533025
19;2014;534079
19;2015;535796
19;2016;536781
19;2017;537668
19;2018;537513
19;2019;536167
21;1926;891000
21;1959;1097859
21;1970;1223675
21;1979;1292486
21;1989;1336066
21;1990;1337182
21;1991;1339822
21;1992;1344014
21;1993;1347818
21;1994;1345489
21;1995;1345431
21;1996;1343966
21;1997;1341946
21;1998;1339194
