reg_ID;reg_alias_the_constitutional_name;reg_alias_human_name;reg_alias_okato;reg_alias_iso_code;reg_alias_tableau;reg_alias_datawrapper;reg_alias_datwrapper_square;reg_tile_column;reg_tile_row;reg_alias_short_2letters;reg_alias_short_3letters;reg_fo;reg_mask;reg_antimask;reg_alias_rosbris_ID;reg_alias_duckconsulting;reg_alias_fedstat;reg_alias_fias_name;reg_alias_fias_id;reg_alias_rossstat_order;reg_level;reg_type;reg_status;reg_alias_citytable
50;Московская область;Московская область;46000000000;RU-MOS;Moskovsskaya;Московская область;Московская область;3;4;МО;МО;ЦФО;Москов;-;1146;Московская область;        46000000000 Московская область;Московская Область;50;12;2;Регион;Область;Московская
51;Мурманская область;Мурманская область;47000000000;RU-MUR;Murmansk;Мурманская область;Мурманская область;2;0;МУ;МУР;СЗФО;Мурм;-;1147;Мурманская область;        47000000000 Мурманская область;Мурманская Область;51;30;2;Регион;Область;Мурманская
83;Ненецкий автономный округ;Ненецкий автономный округ;11100000000;RU-NEN;Nenets;Ненецкий автономный округ;Ненецкий АО;8;1;НЕ;НАО;СЗФО;Ненец;Ямало;111;Ненецкий автономный округ;            11100000000 Ненецкий автономный округ (Архангельская область);Ненецкий Автономный округ;83;25;2;Регион;Автономный округ;Ненецкий
52;Нижегородская область;Нижегородская область;22000000000;RU-NIZ;Nizhny Novgorod;Нижегородская область;Нижегородская область;5;4;НЖ;НИЖ;ПФО;ижег;-;1122;Нижегородская область;        22000000000 Нижегородская область;Нижегородская Область;52;60;2;Регион;Область;Нижегородская
53;Новгородская область;Новгородская область;49000000000;RU-NGR;Novgorod;Новгородская область;Новгородская область;2;2;НВ;НВГ;СЗФО;Новг;-;1149;Новгородская область;        49000000000 Новгородская область;Новгородская Область;53;31;2;Регион;Область;Новгородская
54;Новосибирская область;Новосибирская область;50000000000;RU-NVS;Novosibirsk;Новосибирская область;Новосибирская область;11;4;НС;НСК;СФО;Ново;-;1150;Новосибирская область;        50000000000 Новосибирская область;Новосибирская Область;54;82;2;Регион;Область;Новосибирская
55;Омская область;Омская область;52000000000;RU-OMS;Omsk;Омская область;Омская область;10;5;ОМ;ОМС;СФО;Омск;Томск;1152;Омская область;        52000000000 Омская область;Омская Область;55;83;2;Регион;Область;Омская
56;Оренбургская область;Оренбургская область;53000000000;RU-ORE;Orenburg;Оренбургская область;Оренбургская область;7;6;ОБ;ОРБ;ПФО;Орен;-;1153;Оренбургская область;        53000000000 Оренбургская область;Оренбургская Область;56;61;2;Регион;Область;Оренбургская
57;Орловская область;Орловская область;54000000000;RU-ORL;Orlovskaya;Орловская область;Орловская область;2;5;ОР;ОРЛ;ЦФО;Орл;-;1154;Орловская область;        54000000000 Орловская область;Орловская Область;57;13;2;Регион;Область;Орловская
58;Пензенская область;Пензенская область;56000000000;RU-PNZ;Penza;Пензенская область;Пензенская область;5;6;ПН;ПЕНЗ;ПФО;Пенз;-;1156;Пензенская область;        56000000000 Пензенская область;Пензенская Область;58;62;2;Регион;Область;Пензенская
59;Пермский край;Пермский край;57000000000;RU-PER;Perm;Пермский край;Пермский край;8;3;ПМ;ПЕР;ПФО;Перм;-;1157;Пермский край;        57000000000 Пермский край;Пермский Край;59;58;2;Регион;Область;Пермский
105;Привожский федеральный округ;Привожский федеральный округ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;51;1;Федеральный округ;-;-
25;Приморский край;Приморский край;5000000000;RU-PRI;Primorsky;Приморский край;Приморский край;15;5;ПР;ПРИ;ДФО;Прим;-;1105;Приморский край;        05000000000 Приморский край;Приморский Край;25;88;2;Регион;Край;Приморский
60;Псковская область;Псковская область;58000000000;RU-PSK;Pskov;Псковская область;Псковская область;1;3;ПС;ПСК;СЗФО;Пск;-;1158;Псковская область;        58000000000 Псковская область;Псковская Область;60;32;2;Регион;Область;Псковская
1;Республика Адыгея (Адыгея);Республика Адыгея;79000000000;RU-AD;Adygey;Республика Адыгея;Адыгея;2;8;АД;АДГ;ЮФО;Адыг;-;1179;Адыгея;        79000000000 Республика Адыгея (Адыгея);Адыгея Республика;1;35;2;Регион;Республика;Адыгея
4;Республика Алтай;Республика Алтай;84000000000;RU-AL;Altayskiy;Республика Алтай;Алтай;11;6;ГА;АЛ.Р;СФО;Алтай;Алтайский;1184;Республика Алтай;        84000000000 Республика Алтай;Алтай Республика;4;75;2;Регион;Республика;Алтай
